2023;31.-1.;7.-8.;14.-15.;21.-22.;28.-29.
;25;12;8;11;5
;6;24;18;11;1
;24;41;47;38;34
;2;1;0;3;4
;0;1;0;0;0
;7;4;0;10;6
;1;2;0;2;0
;17;31;4;28;31
;4;7;0;7;7
;8;3;3;5;3
;5;8;1;6;8
;3;1;0;1;1
;2;0;0;0;0
;4;17;2;0;17
;7;2;1;1;2
;0;1;0;2;1
;0;0;0;1;0
;10;7;2;5;7
;4;1;0;0;1
;3;2;1;4;2
;31;27;6;28;27
;2;6;0;0;6
;2;1;0;0;1
;1;0;0;0;0
;1;2;0;0;2
;1;1;0;0;1
;1;0;0;0;2
;0;2;0;0;1
;5;17;4;18;5
;0;0;0;0;0
;0;3;0;2;0
;27;19;7;29;27
;7;2;1;6;7
;0;0;0;0;1
;1;0;0;0;2
;3;1;0;0;0
;62;40;12;45;62
;0;1;0;0;0
;1;0;0;0;1
;0;0;0;0;0
;0;1;0;0;0
;5;8;1;3;5
;28;17;5;12;28
;1;4;2;0;1
;14;7;3;0;14
;0;1;0;0;0
;2;0;0;0;2
;40;37;14;26;40
;3;1;0;10;3
;25;17;4;34;25
;0;2;0;0;0
;7;8;2;7;7
;0;1;0;0;0
;0;0;0;0;0
;1;0;0;0;1
;1;0;0;0;2
;1;0;2;0;0
;31;14;10;25;10
;2;0;1;3;1
;0;0;2;3;2
;1;0;1;2;1
;3;0;1;5;1
;2;0;1;2;1
;0;0;0;0;0
;0;0;0;0;1
;48;37;25;50;28
;0;1;0;0;0
;18;5;3;23;19
;0;2;0;0;1
;20;17;3;14;22
;7;10;1;6;10
;9;4;2;0;4
;40;27;39;40;27
;1;0;0;0;0
;80;113;44;69;113
;4;1;2;3;1
;1;0;0;0;0
;87;57;72;39;57
;10;15;12;12;15
;34;21;30;26;21
;0;1;1;0;1
;2;0;1;0;0
;1;0;1;0;0
;17;14;2;2;14
;0;0;1;0;0
;1;0;0;0;0
;1;2;2;0;2
;1;0;0;0;0
